"DEPARTURES_SCHEDULED","DEPARTURES_PERFORMED","PAYLOAD","SEATS","PASSENGERS","FREIGHT","MAIL","DISTANCE","RAMP_TO_RAMP","AIR_TIME","UNIQUE_CARRIER","AIRLINE_ID","UNIQUE_CARRIER_NAME","UNIQUE_CARRIER_ENTITY","REGION","CARRIER","CARRIER_NAME","CARRIER_GROUP","CARRIER_GROUP_NEW","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","ORIGIN_STATE_FIPS","ORIGIN_STATE_NM","ORIGIN_WAC","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","DEST_STATE_FIPS","DEST_STATE_NM","DEST_WAC","AIRCRAFT_GROUP","AIRCRAFT_TYPE","AIRCRAFT_CONFIG","YEAR","QUARTER","MONTH","DISTANCE_GROUP","CLASS",
0.00,2.00,2600.00,10.00,1.00,0.00,0.00,0.00,163.00,159.00,"2E",20319,"Smokey Bay Air Inc.","06971","D","2E","Smokey Bay Air Inc.",1,5,12184,1218402,30009,"HOM","Homer, AK","AK","02","Alaska",1,12184,1218402,30009,"HOM","Homer, AK","AK","02","Alaska",1,0,"035",3,2013,1,1,1,"L",
0.00,30.00,39000.00,150.00,43.00,0.00,345.00,26.00,540.00,480.00,"2E",20319,"Smokey Bay Air Inc.","06971","D","2E","Smokey Bay Air Inc.",1,5,12184,1218402,30009,"HOM","Homer, AK","AK","02","Alaska",1,12649,1264902,32649,"KEB","Nanwalek, AK","AK","02","Alaska",1,0,"035",3,2013,1,1,1,"F",
0.00,24.00,31200.00,120.00,33.00,0.00,58.00,24.00,432.00,384.00,"2E",20319,"Smokey Bay Air Inc.","06971","D","2E","Smokey Bay Air Inc.",1,5,12184,1218402,30009,"HOM","Homer, AK","AK","02","Alaska",1,14088,1408801,34088,"PGM","Port Graham, AK","AK","02","Alaska",1,0,"035",3,2013,1,1,1,"F",
0.00,71.00,92300.00,355.00,121.00,2649.00,1846.00,16.00,998.00,856.00,"2E",20319,"Smokey Bay Air Inc.","06971","D","2E","Smokey Bay Air Inc.",1,5,12184,1218402,30009,"HOM","Homer, AK","AK","02","Alaska",1,14942,1494202,34942,"SOV","Seldovia, AK","AK","02","Alaska",1,0,"035",3,2013,1,1,1,"F",
0.00,27.00,35100.00,135.00,34.00,0.00,0.00,26.00,496.00,442.00,"2E",20319,"Smokey Bay Air Inc.","06971","D","2E","Smokey Bay Air Inc.",1,5,12649,1264902,32649,"KEB","Nanwalek, AK","AK","02","Alaska",1,12184,1218402,30009,"HOM","Homer, AK","AK","02","Alaska",1,0,"035",3,2013,1,1,1,"F",
0.00,14.00,18200.00,70.00,23.00,0.00,181.00,3.00,60.00,32.00,"2E",20319,"Smokey Bay Air Inc.","06971","D","2E","Smokey Bay Air Inc.",1,5,12649,1264902,32649,"KEB","Nanwalek, AK","AK","02","Alaska",1,14088,1408801,34088,"PGM","Port Graham, AK","AK","02","Alaska",1,0,"035",3,2013,1,1,1,"F",
0.00,40.00,52000.00,200.00,42.00,0.00,0.00,10.00,332.00,252.00,"2E",20319,"Smokey Bay Air Inc.","06971","D","2E","Smokey Bay Air Inc.",1,5,12649,1264902,32649,"KEB","Nanwalek, AK","AK","02","Alaska",1,14942,1494202,34942,"SOV","Seldovia, AK","AK","02","Alaska",1,0,"035",3,2013,1,1,1,"F",
0.00,18.00,23400.00,90.00,27.00,0.00,0.00,24.00,325.00,289.00,"2E",20319,"Smokey Bay Air Inc.","06971","D","2E","Smokey Bay Air Inc.",1,5,14088,1408801,34088,"PGM","Port Graham, AK","AK","02","Alaska",1,12184,1218402,30009,"HOM","Homer, AK","AK","02","Alaska",1,0,"035",3,2013,1,1,1,"F",
0.00,28.00,36400.00,140.00,35.00,355.00,41.00,3.00,112.00,56.00,"2E",20319,"Smokey Bay Air Inc.","06971","D","2E","Smokey Bay Air Inc.",1,5,14088,1408801,34088,"PGM","Port Graham, AK","AK","02","Alaska",1,12649,1264902,32649,"KEB","Nanwalek, AK","AK","02","Alaska",1,0,"035",3,2013,1,1,1,"F",
0.00,16.00,20800.00,80.00,10.00,0.00,0.00,8.00,129.00,97.00,"2E",20319,"Smokey Bay Air Inc.","06971","D","2E","Smokey Bay Air Inc.",1,5,14088,1408801,34088,"PGM","Port Graham, AK","AK","02","Alaska",1,14942,1494202,34942,"SOV","Seldovia, AK","AK","02","Alaska",1,0,"035",3,2013,1,1,1,"F",
